SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
58,790,32995,Gunter Geyer,2985804,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,2,96,84,8,0,0,188,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
59,790,32995,Henre Quins,4878344,HARLEQUINS 3,,HARLEQUINS 3,4553,4,98,79,8,0,0,185,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
60,790,32995,Gerhard De Bruin,2936835,TUKS 5,,TUKS 5,4558,5,36,131,16,0,0,183,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
61,790,32995,Riaan Davel,3163488,SINOVILLE 4,,SINOVILLE 4,4557,2,0,172,8,0,0,180,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
62,790,32995,Christie Klopper,3772083,SINOVILLE 3,,SINOVILLE 3,4556,4,146,0,8,25,1,179,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
63,790,32995,Tshepo Molite,4892046,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,35,108,36,0,0,179,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
64,790,32995,Chris Klopper,4756702,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,3,-1,177,0,0,0,176,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
65,790,32995,Riaan Davel,4715815,SINOVILLE 4,,SINOVILLE 4,4557,1,98,42,8,25,1,173,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
66,790,32995,Hendrik Ferreira,4891854,TUT 3,,TUT 3,4559,2,39,109,0,25,1,173,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
67,790,32995,Ruan Venter,4673574,SINOVILLE 3,,SINOVILLE 3,4556,5,50,113,0,0,0,163,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
68,790,32995,Ruan Venter,4715814,SINOVILLE 4,,SINOVILLE 4,4557,4,81,70,8,0,0,159,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
69,790,32995,Thuto Scheepers,4704972,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,1,91,67,0,0,0,158,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,,2024 Titans Second League
70,790,32995,Albert Myburgh,4024779,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,7,91,35,32,0,0,158,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
71,790,32995,Andre Van wyk,3266939,TUKS 5,,TUKS 5,4558,10,3,137,16,0,0,156,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
72,790,32995,Wali Vayani,4702809,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,156,0,0,0,0,156,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
73,790,32995,Casey Nicholsan,4729870,HARLEQUINS 3,,HARLEQUINS 3,4553,2,150,0,0,0,0,150,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
74,790,32995,Tyler Miller,3729934,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,4,61,88,0,0,0,149,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
75,790,32995,Justin Van Bassen,4673824,CBCOB 3,,CBCOB 3,4552,4,27,96,24,0,0,147,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
76,790,32995,Sellin de Beer,4715786,PHSOB 3,,PHSOB 3,4555,2,51,92,0,0,0,143,2024 Titans Second League
