SNO,PLAYER,TEAM_IMG,BLANK,MAT,TEAM,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
38,Ruan Venter,SINOVILLE 3,,SINOVILLE 3,5,5,35.0,235,5,47/ 2,0,122,6.71,47.00,42.0,0,0,0,29,2,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
39,Andre Kruyshaar,SINOVILLE 4,,SINOVILLE 4,5,3,18.2,128,5,12/ 4,0,55,6.98,25.60,22.0,1,1,0,7,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
40,Wendell Plaatjies,CBCOB 3,,CBCOB 3,7,3,17.0,123,5,53/ 3,0,26,7.24,24.60,20.4,0,0,0,1,2,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
41,Dewald Dummon,PHSOB 3,,PHSOB 3,1,1,9.0,20,4,20/ 4,0,45,2.22,5.00,13.5,0,1,0,4,1,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
42,Dylan van Wyk,SINOVILLE 3,,SINOVILLE 3,1,1,9.0,21,4,21/ 4,1,45,2.33,5.25,13.5,0,1,0,2,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
43,Justin Van Bassen,CBCOB 3,,CBCOB 3,4,2,11.0,51,4,22/ 2,0,35,4.64,12.75,16.5,0,0,0,4,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
44,Tshepo Molite,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,8.3,45,4,45/ 4,1,33,5.29,11.25,12.8,0,1,0,2,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
45,Gunter Geyer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,14.2,76,4,22/ 2,0,56,5.30,19.00,21.5,0,0,0,9,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
46,Hendrik Ferreira,TUT 3,,TUT 3,2,2,12.2,69,4,13/ 3,1,44,5.59,17.25,18.5,0,0,0,2,1,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
47,Travis Joshua,HARLEQUINS 3,,HARLEQUINS 3,3,3,12.3,71,4,25/ 3,0,15,5.68,17.75,18.8,0,0,0,2,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
48,Jaydwin Venske,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,3,3,22.0,126,4,29/ 3,1,80,5.73,31.50,33.0,0,0,0,17,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
49,Cecil Chitaka,TUKS 5,,TUKS 5,1,1,9.0,54,4,54/ 4,0,31,6.00,13.50,13.5,0,1,0,6,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
50,Nico Kruger,TUKS 5,,TUKS 5,2,2,16.0,97,4,41/ 2,0,42,6.06,24.25,24.0,0,0,0,5,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
51,Pieter Oosthuizen,SINOVILLE 3,,SINOVILLE 3,5,2,8.2,55,4,11/ 2,0,24,6.60,13.75,12.5,0,0,0,3,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
52,Burgert Kloppers,PHSOB 3,,PHSOB 3,2,2,9.0,60,4,29/ 2,1,19,6.67,15.00,13.5,0,0,0,2,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
53,Janu Olivier,SINOVILLE 3,,SINOVILLE 3,3,2,11.0,76,4,36/ 4,1,41,6.91,19.00,16.5,0,1,0,7,3,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
54,Khumo Tihocela,HARLEQUINS 3,,HARLEQUINS 3,1,1,3.0,7,3,7/ 3,0,15,2.33,2.33,6.0,0,0,0,3,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
55,JEANDRE Du Bruyn,TUT 3,,TUT 3,1,1,9.0,25,3,25/ 3,0,37,2.78,8.33,18.0,0,0,0,2,0,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
56,Sellin de Beer,PHSOB 3,,PHSOB 3,2,2,10.0,35,3,12/ 3,1,40,3.50,11.67,20.0,0,0,0,1,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
57,Oliver Beaclerk,HARLEQUINS 3,,HARLEQUINS 3,3,2,12.0,46,3,19/ 3,1,49,3.83,15.33,24.0,0,0,0,11,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
58,Chris Coetzee,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4,4,30.0,124,3,24/ 1,3,111,4.13,41.33,60.0,0,0,0,7,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
59,Stefan Grobler,TUT 3,,TUT 3,4,4,23.0,97,3,21/ 1,1,99,4.22,32.33,46.0,0,0,0,13,1,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
60,Simion Muller,CBCOB 3,,CBCOB 3,1,1,3.1,14,3,14/ 3,0,12,4.42,4.67,6.3,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
61,Barend Pelser,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,13.0,66,3,19/ 3,0,41,5.08,22.00,26.0,0,0,0,6,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
