SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
44,James van der Merwe,SINOVILLE 3,,SINOVILLE 3,1,1,0,87,115,87.00,75.65,87,0,1,1,0,0,0,14,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
45,Ludwig Erasmus,SINOVILLE 4,,SINOVILLE 4,3,3,0,86,112,28.67,76.79,47,0,0,0,1,0,2,8,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
46,Robert de Villiers,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,3,2,0,83,82,41.50,101.22,83,0,1,1,0,1,4,8,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
47,Henre Quins,HARLEQUINS 3,,HARLEQUINS 3,4,4,1,83,120,27.67,69.17,71,0,0,1,0,0,0,7,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
48,Elgun Boecker,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,9,7,0,80,85,11.43,94.12,24,0,0,0,0,2,7,4,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
49,Divan Cilliers,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,9,9,0,77,127,8.56,60.63,23,0,0,0,0,2,3,8,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
50,Riaan Davel,SINOVILLE 4,,SINOVILLE 4,1,1,0,76,96,76.00,79.17,76,0,1,1,0,0,1,6,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
51,Jeandre Roux,TUT 3,,TUT 3,3,3,0,76,105,25.33,72.38,67,0,0,1,0,1,0,9,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
52,Rigardt Saaiman,CBCOB 3,,CBCOB 3,9,6,2,75,113,18.75,66.37,22,0,0,0,0,1,1,5,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
53,Callen Stephen,PHSOB 3,,PHSOB 3,3,3,0,74,122,24.67,60.66,31,0,0,0,1,0,0,6,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
54,Johanco Faihst,TUKS 5,,TUKS 5,1,1,0,72,79,72.00,91.14,72,0,0,1,0,0,3,7,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
55,Johan Pretorius,TUKS 5,,TUKS 5,5,5,1,71,105,17.75,67.62,25,0,0,0,1,0,2,8,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
56,Cecil Chitaka,TUKS 5,,TUKS 5,1,1,0,66,58,66.00,113.79,66,0,0,1,0,0,2,8,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
57,Johan Van Antwerpen,PHSOB 3,,PHSOB 3,2,2,0,66,60,33.00,110.00,66,0,0,1,0,1,0,10,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
58,Ruan Venter,SINOVILLE 4,,SINOVILLE 4,4,3,2,66,65,66.00,101.54,49,0,0,0,1,1,3,5,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
59,Jayden Potgieter,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,2,2,0,65,58,32.50,112.07,60,0,0,1,0,0,3,6,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
60,Gunter Geyer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,64,57,32.00,112.28,53,0,0,1,0,0,3,7,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
61,Thuto Scheepers,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,63,57,63.00,110.53,63,0,0,1,0,0,0,11,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
62,Christo Swanepoel,PHSOB 4,,PHSOB 4,1,1,0,63,77,63.00,81.82,63,0,0,1,0,0,0,7,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
63,Leon Smith,TUT 3,,TUT 3,4,4,1,63,110,21.00,57.27,30,0,0,0,1,0,1,7,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
64,Steyn Niemand,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,62,71,31.00,87.32,44,0,0,0,1,0,0,7,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
65,David Diemont,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,60,32,60.00,187.50,60,0,0,1,0,0,3,8,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
66,Marco Rudolph,SINOVILLE 3,,SINOVILLE 3,1,1,0,60,53,60.00,113.21,60,0,0,1,0,0,3,4,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
67,Matt Collett,PHSOB 3,,PHSOB 3,1,1,1,59,75,--,78.67,59,0,0,1,0,0,1,6,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
68,Jacques Van Rooyen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,8,0,58,82,7.25,70.73,22,0,0,0,0,2,3,3,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
69,Mathys Schoeman,SINOVILLE 4,,SINOVILLE 4,1,1,0,58,82,58.00,70.73,58,0,0,1,0,0,5,2,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
70,Stefan Olivier,TUT 3,,TUT 3,2,2,1,56,35,56.00,160.00,41,0,0,0,1,0,2,8,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
71,Emil Rolfes,PHSOB 3,,PHSOB 3,3,3,1,56,74,28.00,75.68,30,0,0,0,1,0,0,5,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
72,Hennie Snr Smit,SINOVILLE 4,,SINOVILLE 4,1,1,1,55,37,--,148.65,55,0,0,1,0,0,0,8,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
73,Stefan Grobler,TUT 3,,TUT 3,4,3,1,55,44,27.50,125.00,36,0,0,0,1,0,2,5,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
74,Juan Human,HARLEQUINS 3,,HARLEQUINS 3,4,4,0,55,63,13.75,87.30,29,0,0,0,1,0,1,5,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
75,Tyler Miller,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,3,1,54,62,27.00,87.10,33,0,0,0,1,0,1,4,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
76,Berno Klopper,SINOVILLE 4,,SINOVILLE 4,2,2,1,54,73,54.00,73.97,30,0,0,0,1,0,2,4,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
77,Jody Buys,HARLEQUINS 3,,HARLEQUINS 3,5,4,0,53,76,13.25,69.74,30,0,0,0,1,1,0,4,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
78,Ian Diemont,HARLEQUINS 3,,HARLEQUINS 3,4,3,1,52,35,26.00,148.57,38,0,0,0,1,0,1,6,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
79,Mike Hartman,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,50,63,25.00,79.37,49,0,0,0,1,0,1,7,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
80,Ryan Rossouw,PHSOB 3,,PHSOB 3,2,2,0,50,76,25.00,65.79,49,0,0,0,1,0,0,6,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
81,Johan Feute,SINOVILLE 3,,SINOVILLE 3,2,2,0,50,85,25.00,58.82,46,0,0,0,1,0,0,7,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
82,Jd Van wyk,SINOVILLE 4,,SINOVILLE 4,5,4,0,47,52,11.75,90.38,19,0,0,0,0,1,0,7,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
83,Dante Meyer,HARLEQUINS 3,,HARLEQUINS 3,3,3,0,47,55,15.67,85.45,22,0,0,0,0,0,1,3,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
84,Dylan Cutting,HARLEQUINS 3,,HARLEQUINS 3,3,2,1,47,60,47.00,78.33,47,0,0,0,1,1,1,8,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
