MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_TYPE,MATCH_DATE,MATCH_DATE_KEY,RESULT,INNINGS,BATTING_TEAM_ID,BOWLING_TEAM_ID,BATTING_TEAM_NAME,BOWLING_TEAM_NAME,TOTAL_RUNS,TOTAL_BALLS,BYES,LEG_BYES,WICKETS,WIDES,NO_BALLS,PENALTY
8212,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,PHSOB 3 won by 138 Runs,1,5428,5429,PHSOB 3,SINOVILLE 3,284,240,4,4,9,28,4,0
8212,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,PHSOB 3 won by 138 Runs,2,5429,5428,SINOVILLE 3,PHSOB 3,146,148,5,2,10,7,1,0
8210,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,TUKS 5 won by 7 Wickets,1,5432,5430,IRENE VILLAGERS 4,TUKS 5,147,166,2,1,10,12,1,0
8210,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,TUKS 5 won by 7 Wickets,2,5430,5432,TUKS 5,IRENE VILLAGERS 4,150,101,0,2,3,10,1,0
8208,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,IRENE VILLAGERS 3 won by 4 Wickets,1,5425,5427,CBCOB 3,IRENE VILLAGERS 3,147,192,0,2,10,22,0,0
8208,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,IRENE VILLAGERS 3 won by 4 Wickets,2,5427,5425,IRENE VILLAGERS 3,CBCOB 3,152,189,0,1,6,9,0,0
8207,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,TUT 3 won by 10 Wickets,1,5426,5431,HARLEQUINS 3,TUT 3,83,152,4,1,10,6,3,0
8207,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,24/01/2026,20260124,TUT 3 won by 10 Wickets,2,5431,5426,TUT 3,HARLEQUINS 3,84,111,0,0,0,11,2,0
8170,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,06/12/2025,20251206,IRENE VILLAGERS 4 won by 38 Runs,1,5432,5428,IRENE VILLAGERS 4,PHSOB 3,256,270,1,0,9,22,4,0
8170,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,06/12/2025,20251206,IRENE VILLAGERS 4 won by 38 Runs,2,5428,5432,PHSOB 3,IRENE VILLAGERS 4,218,231,0,0,10,3,0,0
8168,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,06/12/2025,20251206,CBCOB 3 won by 22 Runs,1,5425,5429,CBCOB 3,SINOVILLE 3,177,221,0,0,10,12,6,0
8168,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,06/12/2025,20251206,CBCOB 3 won by 22 Runs,2,5429,5425,SINOVILLE 3,CBCOB 3,155,143,6,0,10,23,0,0
8127,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,29/11/2025,20251129,TUT 3 won by 109 Runs,1,5431,5425,TUT 3,CBCOB 3,208,240,0,0,7,0,0,0
8127,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,29/11/2025,20251129,TUT 3 won by 109 Runs,2,5425,5431,CBCOB 3,TUT 3,99,170,0,0,10,0,0,0
8118,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,29/11/2025,20251129,Abandoned.,1,5429,5427,SINOVILLE 3,IRENE VILLAGERS 3,0,0,0,0,0,0,0,0
8118,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,29/11/2025,20251129,Abandoned.,2,5427,5429,IRENE VILLAGERS 3,SINOVILLE 3,0,0,0,0,0,0,0,0
8102,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,29/11/2025,20251129,HARLEQUINS 3 won by 39 Runs,1,5426,5430,HARLEQUINS 3,TUKS 5,221,240,0,1,5,18,1,0
8102,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,29/11/2025,20251129,HARLEQUINS 3 won by 39 Runs,2,5430,5426,TUKS 5,HARLEQUINS 3,182,188,0,1,10,15,5,0
8035,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,22/11/2025,20251122,TUT 3 won by 7 Wickets,1,5429,5431,SINOVILLE 3,TUT 3,150,160,0,0,10,0,0,0
8035,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,22/11/2025,20251122,TUT 3 won by 7 Wickets,2,5431,5429,TUT 3,SINOVILLE 3,155,176,0,0,3,0,0,0
