SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
46,949,32995,Ruan Venter,4673574,SINOVILLE 3,,SINOVILLE 3,5429,2,2,11.0,54,4,25/ 2,0,43,4.91,13.50,16.5,0,0,0,10,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
47,949,32995,Joubert Eybers,6390024,PHSOB 3,,PHSOB 3,5428,3,2,18.0,90,4,36/ 2,3,68,5.00,22.50,27.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
48,949,32995,Henry Cbc,6442337,CBCOB 3,,CBCOB 3,5425,4,2,11.3,59,4,11/ 2,0,45,5.13,14.75,17.2,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
49,949,32995,Donovan du Toit,3713457,TUKS 5,,TUKS 5,5430,9,4,20.0,119,4,29/ 2,1,74,5.95,29.75,30.0,0,0,0,14,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
50,949,32995,Ettienne Tait,2939149,HARLEQUINS 3,,HARLEQUINS 3,5426,2,2,14.0,87,4,28/ 3,0,46,6.21,21.75,21.0,0,0,0,5,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
51,949,32995,Hendre Du toit,2987477,SINOVILLE 3,,SINOVILLE 3,5429,5,5,27.0,168,4,52/ 2,1,89,6.22,42.00,40.5,0,0,0,5,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
52,949,32995,Mohapi Molete,2985827,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,6,5,32.0,207,4,29/ 1,1,103,6.47,51.75,48.0,0,0,0,8,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
53,949,32995,Jean Botes,6355844,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,2,2,12.0,79,4,39/ 2,2,45,6.58,19.75,18.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
54,949,32995,Julian Otto,6352767,SINOVILLE 3,,SINOVILLE 3,5429,4,3,9.4,71,4,23/ 2,0,25,7.34,17.75,14.5,0,0,0,2,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
55,949,32995,Barend Pelser,4874775,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,2,2,12.0,95,4,59/ 4,1,45,7.92,23.75,18.0,0,1,0,16,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
56,949,32995,Jean Steyn,6592526,TUT 3,,TUT 3,5431,2,2,4.4,41,4,4/ 3,0,14,8.79,10.25,7.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
57,949,32995,Franco Ferriera,6592583,PHSOB 3,,PHSOB 3,5428,1,1,6.0,13,3,13/ 3,2,30,2.17,4.33,12.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
58,949,32995,Franco Vd Mescht,6629543,CBCOB 3,,CBCOB 3,5425,1,1,3.0,7,3,7/ 3,0,14,2.33,2.33,6.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
59,949,32995,Janu Olivier,4973941,SINOVILLE 3,,SINOVILLE 3,5429,2,2,11.0,38,3,24/ 2,1,53,3.45,12.67,22.0,0,0,0,6,4,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
60,949,32995,Jaden Beukes,6299645,CBCOB 3,,CBCOB 3,5425,2,2,6.0,21,3,7/ 2,2,29,3.50,7.00,12.0,0,0,0,0,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
61,949,32995,Lee Bukes,6592626,SINOVILLE 3,,SINOVILLE 3,5429,1,1,8.0,28,3,28/ 3,1,29,3.50,9.33,16.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
62,949,32995,Juan Van den berg,2987480,SINOVILLE 3,,SINOVILLE 3,5429,1,1,8.0,29,3,29/ 3,0,33,3.62,9.67,16.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
63,949,32995,Heinrich Klue,6358565,CBCOB 3,,CBCOB 3,5425,1,1,9.0,33,3,33/ 3,0,34,3.67,11.00,18.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
64,949,32995,Peet Snyman,6299175,HARLEQUINS 3,,HARLEQUINS 3,5426,2,1,4.1,16,3,16/ 3,0,21,3.84,5.33,8.3,0,0,0,6,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
65,949,32995,Neil Jansen,4655262,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,2,2,12.0,61,3,25/ 2,1,50,5.08,20.33,24.0,0,0,0,5,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
66,949,32995,Callen Stephen,3782749,PHSOB 3,,PHSOB 3,5428,4,2,13.3,69,3,44/ 2,0,46,5.11,23.00,27.0,0,0,0,5,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
67,949,32995,Mark Yafee,6552299,CBCOB 3,,CBCOB 3,5425,4,3,9.3,49,3,16/ 2,2,34,5.16,16.33,19.0,0,0,0,13,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
68,949,32995,Wilhelm Best,6372014,PHSOB 3,,PHSOB 3,5428,2,2,13.0,69,3,31/ 3,0,54,5.31,23.00,26.0,0,0,0,10,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
69,949,32995,Marcel Cronjé,6336326,PHSOB 3,,PHSOB 3,5428,4,2,14.0,83,3,45/ 2,1,51,5.93,27.67,28.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
70,949,32995,Hein Swanepoel,4649924,HARLEQUINS 3,,HARLEQUINS 3,5426,2,2,11.0,68,3,48/ 3,0,47,6.18,22.67,22.0,0,0,0,23,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
71,949,32995,Gary Van Blerk,4673569,TUT 3,,TUT 3,5431,8,4,15.0,98,3,15/ 1,1,55,6.53,32.67,30.0,0,0,0,36,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
72,949,32995,Leon Smith,4673571,TUT 3,,TUT 3,5431,6,4,13.0,85,3,6/ 2,0,39,6.54,28.33,26.0,0,0,0,4,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
73,949,32995,Christoff  Pompie Helm,2985831,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,7,4,15.1,100,3,38/ 3,1,45,6.59,33.33,30.3,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
74,949,32995,Andre Van wyk,3266939,TUKS 5,,TUKS 5,5430,8,5,18.0,125,3,19/ 1,1,53,6.94,41.67,36.0,0,0,0,12,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
75,949,32995,Joshua Hall,6299551,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,1,1,5.0,39,3,39/ 3,0,22,7.80,13.00,10.0,0,0,0,7,0,2025/2026 TITANS SECOND LEAGUE
