SNO,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE
16,League,11/08/2025,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,TUKS 5 won by 4 Wickets,IRENE VILLAGERS 3: 143/10(37.2) TUKS 5: 144/6(31.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7777&clubId=32995,4,IRENE VILLAGERS 3,143/10(37.2),TUKS 5,144/6(31.1)
15,League,11/08/2025,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,SINOVILLE 3 won by 4 Runs,SINOVILLE 3: 257/10(39.1) IRENE VILLAGERS 4: 253/8(40.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7775&clubId=32995,0,SINOVILLE 3,257/10(39.1),IRENE VILLAGERS 4,253/8(40.0)
14,League,11/01/2025,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,CBCOB 3 won by 7 Wickets,PHSOB 3: 232/7(45.0) CBCOB 3: 234/3(36.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7677&clubId=32995,4,PHSOB 3,232/7(45.0),CBCOB 3,234/3(36.3)
13,League,11/01/2025,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,IRENE VILLAGERS 4 won by 49 Runs,IRENE VILLAGERS 4: 176/8(40.0) IRENE VILLAGERS 3: 127/10(28.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7654&clubId=32995,0,IRENE VILLAGERS 4,176/8(40.0),IRENE VILLAGERS 3,127/10(28.2)
12,League,11/01/2025,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,SINOVILLE 3 won by 165 Runs,SINOVILLE 3: 327/8(40.0) HARLEQUINS 3: 162/10(24.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7649&clubId=32995,0,SINOVILLE 3,327/8(40.0),HARLEQUINS 3,162/10(24.4)
11,League,11/01/2025,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,TUT 3 won by 4 Wickets,TUKS 5: 229/7(40.0) TUT 3: 230/6(39.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7648&clubId=32995,4,TUKS 5,229/7(40.0),TUT 3,230/6(39.0)
10,League,10/25/2025,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,TUT 3 won by 172 Runs,TUT 3: 277/7(40.0) IRENE VILLAGERS 4: 105/10(24.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7488&clubId=32995,0,TUT 3,277/7(40.0),IRENE VILLAGERS 4,105/10(24.0)
9,League,10/25/2025,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,IRENE VILLAGERS 3 won by 8 Wickets,HARLEQUINS 3: 68/10(17.0) IRENE VILLAGERS 3: 71/2(10.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7486&clubId=32995,4,HARLEQUINS 3,68/10(17.0),IRENE VILLAGERS 3,71/2(10.4)
8,League,10/25/2025,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,PHSOB 3 won by 76 Runs,PHSOB 3: 313/10(44.1) TUKS 5: 237/10(35.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7484&clubId=32995,0,PHSOB 3,313/10(44.1),TUKS 5,237/10(35.0)
7,League,10/18/2025,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,Abandoned.,CBCOB 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7452&clubId=32995,2,CBCOB 3,0/0(0.0),,
6,League,10/18/2025,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,Abandoned.,TUT 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7430&clubId=32995,2,TUT 3,0/0(0.0),,
5,League,10/18/2025,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,Abandoned.,TUKS 5: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7428&clubId=32995,2,TUKS 5,0/0(0.0),,
4,League,10/11/2025,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,CBCOB 3 won by 35 Runs,CBCOB 3: 137/10(34.1) TUT 3: 102/10(23.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7373&clubId=32995,0,CBCOB 3,137/10(34.1),TUT 3,102/10(23.1)
3,League,10/11/2025,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,IRENE VILLAGERS 3 won by 7 Wickets,SINOVILLE 3: 88/10(18.3) IRENE VILLAGERS 3: 90/3(11.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7368&clubId=32995,4,SINOVILLE 3,88/10(18.3),IRENE VILLAGERS 3,90/3(11.4)
2,League,10/11/2025,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,PHSOB 3 won by 2 Wickets,IRENE VILLAGERS 4: 249/10(40.4) PHSOB 3: 250/8(39.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7365&clubId=32995,4,IRENE VILLAGERS 4,249/10(40.4),PHSOB 3,250/8(39.0)
1,League,10/11/2025,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,HARLEQUINS 3 won by 25 Runs,HARLEQUINS 3: 186/10(39.2) TUKS 5: 161/10(26.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7359&clubId=32995,0,HARLEQUINS 3,186/10(39.2),TUKS 5,161/10(26.1)
