SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
291,Leo Pelser,HARLEQUINS 3,,HARLEQUINS 3,2,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
292,Ricardo Pretorius,SINOVILLE 3,,SINOVILLE 3,1,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
293,Sydney Stanley,TUKS 5,,TUKS 5,2,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,TUKS 5,,,,,,,,,,,,,,,,,,
294,Dewet Lombaard,TUT 3,,TUT 3,4,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,TUT 3,,,,,,,,,,,,,,,,,,
295,Pieter Oosthuizen,SINOVILLE 3,,SINOVILLE 3,1,1,0,0,2,0.00,0.00,0,0,0,0,0,1,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
296,Rolf Behrens,TUKS 5,,TUKS 5,1,1,1,0,2,--,0.00,0,0,0,0,0,0,0,0
,TUKS 5,,,,,,,,,,,,,,,,,,
297,Tristan Voshee,SINOVILLE 3,,SINOVILLE 3,1,1,1,0,2,--,0.00,0,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
298,Miane Smit,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,1,0,0,2,0.00,0.00,0,0,0,0,0,1,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
299,Alex Steenkamp,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,0,2,0.00,0.00,0,0,0,0,0,1,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
300,Cullen Els,CBCOB 3,,CBCOB 3,2,2,0,0,2,0.00,0.00,0,0,0,0,0,2,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
301,Heinrich du Toit,SINOVILLE 3,,SINOVILLE 3,1,1,0,0,3,0.00,0.00,0,0,0,0,0,1,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
302,Jean Botes,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,1,0,0,3,0.00,0.00,0,0,0,0,0,1,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
303,Lucky Coetzee,CBCOB 3,,CBCOB 3,1,1,0,0,3,0.00,0.00,0,0,0,0,0,1,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
304,Ben Hough,PHSOB 3,,PHSOB 3,2,1,0,0,3,0.00,0.00,0,0,0,0,0,1,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
305,Andre Klopper,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,1,0,0,4,0.00,0.00,0,0,0,0,0,1,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
306,Barend Pelser,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,1,0,0,4,0.00,0.00,0,0,0,0,0,1,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
307,Yaffee Cbc,CBCOB 3,,CBCOB 3,1,1,1,0,5,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
308,Ruan Venter,SINOVILLE 3,,SINOVILLE 3,2,2,0,0,8,0.00,0.00,0,0,0,0,0,2,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
309,Leon Smith,TUT 3,,TUT 3,6,2,0,0,18,0.00,0.00,0,0,0,0,0,2,0,0
,TUT 3,,,,,,,,,,,,,,,,,,
