SNO,LEAGUE_ID,CLUB_ID,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_ID,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_ID,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE,League Name
66,18,32995,League,02/25/2023,REFILWE 1,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1192&clubId=32995,1192,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,Forfeited. Winner: PHSOB 3,REFILWE 1: 0/0(20.0) PHSOB 3: 0/0(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1881&clubId=32995,4,REFILWE 1,0/0(20.0),PHSOB 3,0/0(20.0),Titans Second League
65,18,32995,League,02/19/2023,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1197&clubId=32995,1197,32995,PHSOB 3 won by 30 Runs,PHSOB 3: 148/4(20.0) TUT 3: 118/7(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1873&clubId=32995,0,PHSOB 3,148/4(20.0),TUT 3,118/7(20.0),Titans Second League
64,18,32995,League,02/19/2023,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,CBCOB 3 won by 4 Wickets,SINOVILLE 3: 116/10(17.4) CBCOB 3: 117/6(18.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1861&clubId=32995,4,SINOVILLE 3,116/10(17.4),CBCOB 3,117/6(18.3),Titans Second League
63,18,32995,League,02/18/2023,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,REFILWE 1,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1192&clubId=32995,1192,32995,Abandoned.,IRENE VILLAGERS 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2367&clubId=32995,0,IRENE VILLAGERS 3,0/0(0.0),,,Titans Second League
62,18,32995,League,02/18/2023,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,Forfeited. Winner: TUKS 5,POLICE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2131&clubId=32995,4,POLICE 3,0/0(0.0),,,Titans Second League
61,18,32995,League,02/18/2023,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,SINOVILLE 4 won by 10 Wickets,TUKS 6: 106/9(20.0) SINOVILLE 4: 107/0(6.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1839&clubId=32995,4,TUKS 6,106/9(20.0),SINOVILLE 4,107/0(6.4),Titans Second League
60,18,32995,League,02/12/2023,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,Abandoned.,PHSOB 3: 0/0(20.0) TUKS 5: 0/0(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1734&clubId=32995,2,PHSOB 3,0/0(20.0),TUKS 5,0/0(20.0),Titans Second League
59,18,32995,League,02/11/2023,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,Abandoned.,TUKS 6: 0/0(20.0) CBCOB 3: 0/0(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1757&clubId=32995,2,TUKS 6,0/0(20.0),CBCOB 3,0/0(20.0),Titans Second League
58,18,32995,League,02/11/2023,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1197&clubId=32995,1197,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,Abandoned.,TUT 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1738&clubId=32995,2,TUT 3,0/0(0.0),,,Titans Second League
57,18,32995,League,02/11/2023,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,Abandoned.,SINOVILLE 4: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1699&clubId=32995,2,SINOVILLE 4,0/0(0.0),,,Titans Second League
