SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,CATCHES,WK_CATCHES,DIRECT_RO,INDIRECT_RO,STUMPINGS,TOTAL,League Name
63,18,32995,Latir Grey-Johnson,3018351,TUKS 6,,TUKS 6,1861,0,0,0,2,0,2,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,Titans Second League
64,18,32995,Abbas Mohammad,1082990,POLICE 3,,POLICE 3,1201,1,0,0,0,0,1,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,Titans Second League
65,18,32995,Amin Qasim,1439806,POLICE 3,,POLICE 3,1201,1,0,0,0,0,1,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,Titans Second League
66,18,32995,Danish Khan,1636074,POLICE 3,,POLICE 3,1201,1,0,0,0,0,1,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,Titans Second League
67,18,32995,Ryan Kruger,2698181,SINOVILLE 4,,SINOVILLE 4,1200,1,0,0,0,0,1,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,Titans Second League
68,18,32995,Aidan Lakmeeharan,2934847,TUKS 6,,TUKS 6,1861,1,0,0,0,0,1,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,Titans Second League
69,18,32995,Rudi Loibner,2935397,CBCOB 3,,CBCOB 3,1196,1,0,0,0,0,1,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,Titans Second League
70,18,32995,Anton Stassen,2936729,SINOVILLE 3,,SINOVILLE 3,1194,0,1,0,0,0,1,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,Titans Second League
71,18,32995,Wiehan Nel,2936753,SINOVILLE 3,,SINOVILLE 3,1194,1,0,0,0,0,1,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,Titans Second League
72,18,32995,Jaco de Vos,2936844,TUKS 5,,TUKS 5,1860,1,0,0,0,0,1,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,Titans Second League
73,18,32995,Erik Hartman,2936852,TUKS 6,,TUKS 6,1861,1,0,0,0,0,1,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,Titans Second League
74,18,32995,Joe Vickery,2936854,TUKS 6,,TUKS 6,1861,0,1,0,0,0,1,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,Titans Second League
75,18,32995,Kieran Anderson,2936859,TUKS 6,,TUKS 6,1861,1,0,0,0,0,1,Titans Second League
