SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
93,18,32995,Lourens Pieterse,3003046,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,4,4,140,10,0,0,154,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
94,18,32995,Stephan Van Der Berg,2987583,CBCOB 3,,CBCOB 3,1196,2,0,120,30,0,0,150,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
95,18,32995,Muhammad Adil Khan,2973879,POLICE 3,,POLICE 3,1201,3,146,-20,20,0,0,146,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,,Titans Second League
96,18,32995,Jeandre Roux,3018228,TUT 3,,TUT 3,1197,5,142,-10,10,0,0,142,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
97,18,32995,Khumo Tlhoaela,3145213,CBCOB 3,,CBCOB 3,1196,1,0,130,10,0,0,140,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
98,18,32995,Marne Weldhagen,3180550,SINOVILLE 4,,SINOVILLE 4,1200,1,138,0,0,0,0,138,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
99,18,32995,Niel Coetzee,3018224,TUT 3,,TUT 3,1197,6,72,0,60,0,0,132,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
100,18,32995,Jean Coetser,3018231,TUT 3,,TUT 3,1197,5,52,50,30,0,0,132,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
101,18,32995,Adriaan Venter,3673677,CBCOB 3,,CBCOB 3,1196,6,60,50,20,0,0,130,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
102,18,32995,Stephen van den Berg,2936843,TUKS 5,,TUKS 5,1860,4,110,0,20,0,0,130,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
103,18,32995,James Nelson,3145210,CBCOB 3,,CBCOB 3,1196,1,57,60,10,0,0,127,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
104,18,32995,Mark Bekker,3146406,TUT 3,,TUT 3,1197,3,5,110,10,0,0,125,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
105,18,32995,Michael Boltman,2936907,PHSOB 3,,PHSOB 3,1193,4,114,0,10,0,0,124,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
106,18,32995,Ruan Brenner,3180560,PHSOB 3,,PHSOB 3,1193,1,94,30,0,0,0,124,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
107,18,32995,Duan St Arnaud,3145215,PHSOB 3,,PHSOB 3,1193,3,24,80,20,0,0,124,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
108,18,32995,Divan Behrens,3255257,SINOVILLE 4,,SINOVILLE 4,1200,3,123,0,0,0,0,123,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
109,18,32995,Latir Grey-Johnson,3018351,TUKS 6,,TUKS 6,1861,3,62,40,20,0,0,122,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
110,18,32995,George Chibweza,3229703,CBCOB 3,,CBCOB 3,1196,3,0,110,10,0,0,120,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
111,18,32995,Caleb Eckard,3018344,CBCOB 3,,CBCOB 3,1196,6,-10,120,10,0,0,120,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
112,18,32995,Erik Hartman,2936852,TUKS 6,,TUKS 6,1861,4,89,20,10,0,0,119,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
113,18,32995,Oliver Beauclerk,2987533,TUKS 6,,TUKS 6,1861,1,9,110,0,0,0,119,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
114,18,32995,Matimu Mayayise,2936840,TUKS 5,,TUKS 5,1860,4,125,-40,30,0,0,115,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
115,18,32995,MJ Gouws,2990919,SINOVILLE 3,,SINOVILLE 3,1194,2,53,50,10,0,0,113,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
116,18,32995,Manie de Beer,2947307,SINOVILLE 3,,SINOVILLE 3,1194,2,2,100,10,0,0,112,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
117,18,32995,Stan Skinner,3031824,TUKS 5,,TUKS 5,1860,1,0,110,0,0,0,110,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
118,18,32995,Jean Caudron,3180555,SINOVILLE 4,,SINOVILLE 4,1200,5,9,80,20,0,0,109,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
119,18,32995,Dries Van der Lith,2934771,SINOVILLE 3,,SINOVILLE 3,1194,4,78,30,0,0,0,108,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
120,18,32995,Jason Gillard,3003090,SINOVILLE 4,,SINOVILLE 4,1200,2,8,100,0,0,0,108,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
121,18,32995,Andre Van wyk,3266939,TUKS 5,,TUKS 5,1860,12,-3,100,10,0,0,107,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
122,18,32995,Aidan Lakmeeharan,2934847,TUKS 6,,TUKS 6,1861,6,96,0,10,0,0,106,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
123,18,32995,Evan Tuks6,3243675,TUKS 6,,TUKS 6,1861,1,100,0,0,0,0,100,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
124,18,32995,Derrick Cremer,3056113,CBCOB 3,,CBCOB 3,1196,2,95,0,0,0,0,95,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
125,18,32995,Gerrie Viljoen,3015413,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,1,73,20,0,0,0,93,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
126,18,32995,Hlomla Henna,2936855,TUKS 6,,TUKS 6,1861,7,50,40,0,0,0,90,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
127,18,32995,Phillp Irene,3255329,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,1,90,0,0,0,0,90,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
128,18,32995,Abbas Mohammad,1082990,POLICE 3,,POLICE 3,1201,3,39,40,10,0,0,89,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,,Titans Second League
129,18,32995,Dean Dyer,2936901,PHSOB 3,,PHSOB 3,1193,2,89,0,0,0,0,89,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
130,18,32995,Ryan Rossouw,2936911,PHSOB 3,,PHSOB 3,1193,3,66,0,20,0,0,86,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
131,18,32995,JJ Du Toit,3226765,SINOVILLE 4,,SINOVILLE 4,1200,5,64,0,20,0,0,84,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
132,18,32995,Wian Munnik,3198244,SINOVILLE 4,,SINOVILLE 4,1200,2,44,20,20,0,0,84,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
133,18,32995,Playa3 Cbc,3255332,CBCOB 3,,CBCOB 3,1196,1,31,40,10,0,0,81,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
134,18,32995,Mosleh Uddin,3226767,SINOVILLE 3,,SINOVILLE 3,1194,2,-10,80,10,0,0,80,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
135,18,32995,Ettienne Du Toit,3056134,SINOVILLE 4,,SINOVILLE 4,1200,1,40,30,10,0,0,80,Titans Second League
