SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
38,Frits Snyman,TUKS 5,,TUKS 5,8,8,0,94,179,11.75,52.51,21,0,0,0,0,0,0,11,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
39,Ryan Kruger,SINOVILLE 4,,SINOVILLE 4,2,2,0,92,59,46.00,155.93,49,0,0,0,2,0,4,10,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
40,Jacques Erasmus,SINOVILLE 4,,SINOVILLE 4,2,2,0,90,64,45.00,140.62,55,0,0,1,1,0,7,7,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
41,Want V deventer,SINOVILLE 4,,SINOVILLE 4,1,1,0,89,50,89.00,178.00,89,0,1,1,0,0,3,12,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
42,Jacques Erasmus,SINOVILLE 3,,SINOVILLE 3,1,1,1,81,49,--,165.31,81,0,1,1,0,0,4,9,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
43,Playa2 Cbc,CBCOB 3,,CBCOB 3,1,1,1,72,52,--,138.46,72,0,0,1,0,0,4,5,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
44,Dieter Sinoville,SINOVILLE 4,,SINOVILLE 4,1,1,1,67,61,--,109.84,67,0,0,1,0,0,4,5,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
45,Louis van Zyl,CBCOB 3,,CBCOB 3,6,3,1,67,86,33.50,77.91,32,0,0,0,1,0,3,5,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
46,Wian Nel,SINOVILLE 4,,SINOVILLE 4,2,1,0,66,63,66.00,104.76,66,0,0,1,0,0,2,8,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
47,Kofi Essel-mensah,TUKS 6,,TUKS 6,6,5,0,65,39,13.00,166.67,31,0,0,0,2,2,4,8,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
48,Jeandre Roux,TUT 3,,TUT 3,5,3,0,63,93,21.00,67.74,34,0,0,0,1,0,2,5,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
49,Rhys Tuks6,TUKS 6,,TUKS 6,1,1,0,62,46,62.00,134.78,62,0,0,1,0,0,2,6,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
50,Pippie Kemm,PHSOB 3,,PHSOB 3,4,4,1,62,70,20.67,88.57,50,0,0,1,0,0,1,8,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
51,Ivan Venter,TUKS 5,,TUKS 5,5,5,0,61,76,12.20,80.26,22,0,0,0,0,0,2,5,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
52,Zian Stoop,CBCOB 3,,CBCOB 3,1,1,0,60,36,60.00,166.67,60,0,0,1,0,0,0,9,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
53,Anton Stassen,SINOVILLE 3,,SINOVILLE 3,5,2,0,60,43,30.00,139.53,40,0,0,0,1,0,3,7,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
54,Dian Botha,SINOVILLE 3,,SINOVILLE 3,1,1,0,60,74,60.00,81.08,60,0,0,1,0,0,4,6,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
55,Stephen van den Berg,TUKS 5,,TUKS 5,4,4,0,59,95,14.75,62.11,33,0,0,0,1,0,1,9,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
56,Aidan Lakmeeharan,TUKS 6,,TUKS 6,6,5,0,58,79,11.60,73.42,31,0,0,0,1,1,3,2,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
57,Divan Behrens,SINOVILLE 4,,SINOVILLE 4,3,2,1,57,52,57.00,109.62,39,0,0,0,1,0,0,6,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
