SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
46,18,32995,Stephan Van Der Berg,2987583,CBCOB 3,,CBCOB 3,2,,2,8.0,40,3,16/ 2,1,33,5.00,13.33,16.0,0,0,0,9,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
47,18,32995,Duan St Arnaud,3145215,PHSOB 3,,PHSOB 3,3,,3,6.0,34,3,10/ 2,0,17,5.67,11.33,12.0,0,0,0,1,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
48,18,32995,Chris Koekemoer,3069547,CBCOB 3,,CBCOB 3,7,,4,13.0,80,3,13/ 2,2,47,6.15,26.67,26.0,0,0,0,2,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
49,18,32995,JP Roets,3195753,SINOVILLE 4,,SINOVILLE 4,3,,3,10.1,64,3,19/ 2,1,28,6.30,21.33,20.3,0,0,0,1,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
50,18,32995,Gerhard De Bruin,2936835,TUKS 5,,TUKS 5,13,,11,43.5,278,3,21/ 2,1,149,6.34,92.67,87.7,0,0,0,16,1,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
51,18,32995,Jason Gillard,3003090,SINOVILLE 4,,SINOVILLE 4,1,,1,4.0,30,3,30/ 3,0,15,7.50,10.00,8.0,0,0,0,1,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
52,18,32995,Erik Van Deventer,3033825,TUT 3,,TUT 3,4,,2,6.0,45,3,34/ 3,0,10,7.50,15.00,12.0,0,0,0,0,0,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
53,18,32995,George Chibweza,3229703,CBCOB 3,,CBCOB 3,3,,2,8.0,62,3,12/ 3,1,20,7.75,20.67,16.0,0,0,0,3,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
54,18,32995,Matt Rogerson,2936914,PHSOB 3,,PHSOB 3,8,,4,12.0,96,3,9/ 1,1,27,8.00,32.00,24.0,0,0,0,5,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
55,18,32995,Kofi Essel-mensah,2987529,TUKS 6,,TUKS 6,6,,2,8.0,69,3,37/ 2,0,24,8.62,23.00,16.0,0,0,0,0,0,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,,,,,,,,,,Titans Second League
56,18,32995,Abbas Mohammad,1082990,POLICE 3,,POLICE 3,3,,3,21.5,194,3,23/ 1,0,60,8.89,64.67,43.7,0,0,0,18,0,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
57,18,32995,Oliver Beauclerk,2987533,TUKS 6,,TUKS 6,1,,1,5.0,12,2,12/ 2,1,26,2.40,6.00,15.0,0,0,0,5,0,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,,,,,,,,,,Titans Second League
58,18,32995,Micheal van der Westhuizen,3069551,CBCOB 3,,CBCOB 3,5,,4,21.0,54,2,11/ 1,8,96,2.57,27.00,63.0,0,0,0,0,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
59,18,32995,Dian Botha,2934759,SINOVILLE 3,,SINOVILLE 3,1,,1,9.0,27,2,27/ 2,2,40,3.00,13.50,27.0,0,0,0,1,1,Titans Second League
