SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
44,576,32995,Mohapi Molete,2985827,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5,,4,24.0,153,5,37/ 2,0,76,6.38,30.60,28.8,0,0,0,6,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
45,576,32995,Ivan Havenga,3729571,CBCOB 3,,CBCOB 3,5,,5,21.3,147,5,30/ 2,2,85,6.84,29.40,25.8,0,0,0,15,2,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
46,576,32995,Amohelang Sebati,3795244,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,7,,7,23.0,171,5,5/ 1,0,73,7.43,34.20,27.6,0,0,0,17,4,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
47,576,32995,Elro Van der Heever,3745425,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,7,,7,24.1,189,5,3/ 2,1,72,7.82,37.80,29.0,0,0,0,12,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
48,576,32995,Francois Viljoen,3912802,CBCOB 3,,CBCOB 3,4,,3,26.0,103,4,20/ 4,0,101,3.96,25.75,39.0,0,1,0,13,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
49,576,32995,Mark Bekker,3146406,TUT 3,,TUT 3,7,,7,43.2,173,4,14/ 1,2,186,3.99,43.25,65.0,0,0,0,21,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
50,576,32995,Lafras Jenkins,4143518,PHSOB 3,,PHSOB 3,3,,2,17.0,76,4,42/ 3,3,72,4.47,19.00,25.5,0,0,0,8,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
51,576,32995,Aidan Van der Westhuizen,3795247,SINOVILLE 4,,SINOVILLE 4,1,,1,3.1,15,4,15/ 4,0,12,4.74,3.75,4.8,0,1,0,4,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
52,576,32995,Botha Geldenhuis,3795241,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,,2,14.0,71,4,46/ 3,0,56,5.07,17.75,21.0,0,0,0,4,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
53,576,32995,Jared Fourie,3783167,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,4,,4,26.3,135,4,4/ 2,2,89,5.09,33.75,39.8,0,0,0,10,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
54,576,32995,Caleb Eckard,3018344,CBCOB 3,,CBCOB 3,1,,1,9.0,48,4,48/ 4,0,34,5.33,12.00,13.5,0,1,0,3,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
55,576,32995,Andre Van wyk,3266939,TUKS 5,,TUKS 5,13,,8,23.0,125,4,11/ 2,1,80,5.43,31.25,34.5,0,0,0,19,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
56,576,32995,Tiaan Lotter,2934784,SINOVILLE 3,,SINOVILLE 3,5,,5,30.0,164,4,25/ 3,2,95,5.47,41.00,45.0,0,0,0,2,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
57,576,32995,Nico de Bruyn,3180581,TUKS 5,,TUKS 5,12,,10,42.0,239,4,17/ 1,1,128,5.69,59.75,63.0,0,0,0,9,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
58,576,32995,Riaan Scheepers,3713347,TUT 3,,TUT 3,5,,4,14.0,81,4,7/ 1,1,52,5.79,20.25,21.0,0,0,0,19,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
