SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
191,576,32995,Dylan Van wyk,2987473,SINOVILLE 4,,SINOVILLE 4,1,,1,5.0,31,0,31/ 0,0,18,6.20,0,0.0,0,0,0,6,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
192,576,32995,Donovan Kretschmer,3749171,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,,1,5.0,31,0,31/ 0,0,18,6.20,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
193,576,32995,Duan St Arnaud,3145215,PHSOB 3,,PHSOB 3,4,,1,5.0,32,0,0/ 0,0,11,6.40,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
194,576,32995,Justin Reynolds,3713446,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,,1,5.0,32,0,0/ 0,0,16,6.40,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
195,576,32995,Phillip Weyer,4116170,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,,1,5.0,32,0,32/ 0,1,19,6.40,0,0.0,0,0,0,7,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
196,576,32995,Stanley Fabri,3056139,SINOVILLE 4,,SINOVILLE 4,2,,2,7.0,45,0,12/ 0,1,20,6.43,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
197,576,32995,Rudi Loibner,2935397,CBCOB 3,,CBCOB 3,7,,1,3.0,20,0,0/ 0,0,8,6.67,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
198,576,32995,Bennie Viljoen,3713450,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,,1,3.0,20,0,0/ 0,0,11,6.67,0,0.0,0,0,0,6,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
199,576,32995,Christiaan Steyn,3179091,HARLEQUINS 3,,HARLEQUINS 3,2,,1,5.0,34,0,0/ 0,0,19,6.80,0,0.0,0,0,0,0,1,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
200,576,32995,Igmar Erasmus,3745422,SINOVILLE 3,,SINOVILLE 3,1,,1,1.0,7,0,7/ 0,0,2,7.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
201,576,32995,Pete Harlequins 3,3783175,HARLEQUINS 3,,HARLEQUINS 3,1,,1,1.0,7,0,7/ 0,0,3,7.00,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
202,576,32995,Mohammed Korowlay,4198493,HARLEQUINS 3,,HARLEQUINS 3,1,,1,1.0,7,0,7/ 0,0,2,7.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
203,576,32995,Deon Van Huysteen,3795246,SINOVILLE 4,,SINOVILLE 4,1,,1,3.0,22,0,22/ 0,0,12,7.33,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
204,576,32995,Zander Jordaan,2987471,SINOVILLE 4,,SINOVILLE 4,2,,2,4.0,30,0,10/ 0,0,12,7.50,0,0.0,0,0,0,5,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
205,576,32995,Nicolas Conradie,4163790,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,,1,3.0,23,0,0/ 0,0,8,7.67,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
206,576,32995,Stephan Lotter,2990921,SINOVILLE 3,,SINOVILLE 3,1,,1,2.0,16,0,16/ 0,0,7,8.00,0,0.0,0,0,0,5,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
207,576,32995,Stiaan Schmiedeskamp,3783172,HARLEQUINS 3,,HARLEQUINS 3,2,,2,9.0,72,0,23/ 0,0,27,8.00,0,0.0,0,0,0,16,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
208,576,32995,Ryan Stringer,4116165,PHSOB 3,,PHSOB 3,1,,1,1.0,8,0,8/ 0,0,4,8.00,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
209,576,32995,HR Cbc,4143517,CBCOB 3,,CBCOB 3,1,,1,3.0,24,0,24/ 0,0,6,8.00,0,0.0,0,0,0,2,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
210,576,32995,Dylan Kruger,4187743,PHSOB 3,,PHSOB 3,1,,1,4.0,32,0,32/ 0,0,16,8.00,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
211,576,32995,Sieg Dorfling,4143515,CBCOB 3,,CBCOB 3,1,,1,5.0,41,0,41/ 0,0,10,8.20,0,0.0,0,0,0,1,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
212,576,32995,Papi Cbf,4143516,CBCOB 3,,CBCOB 3,2,,1,3.0,25,0,0/ 0,0,9,8.33,0,0.0,0,0,0,1,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
213,576,32995,Travis Joshua,3783171,HARLEQUINS 3,,HARLEQUINS 3,1,,1,4.0,35,0,35/ 0,0,11,8.75,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
214,576,32995,Ryan Thurbon,3771716,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,6,,2,3.0,28,0,0/ 0,0,9,9.33,0,0.0,0,0,0,4,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
215,576,32995,Matthew Thurbon,2985834,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,12,,4,8.0,80,0,0/ 0,0,22,10.00,0,0.0,0,0,0,6,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
216,576,32995,Tihardt Kruger,3242942,TUKS 5,,TUKS 5,1,,1,2.0,20,0,20/ 0,0,3,10.00,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
217,576,32995,Franco Von Mollendorf,3812051,SINOVILLE 3,,SINOVILLE 3,1,,1,3.0,31,0,31/ 0,0,0,10.33,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
218,576,32995,Divan Cilliers,3713448,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,13,,1,3.0,32,0,0/ 0,0,7,10.67,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
219,576,32995,Nuzi Ndlovu,4081457,PHSOB 3,,PHSOB 3,2,,1,3.0,32,0,0/ 0,0,8,10.67,0,0.0,0,0,0,4,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
220,576,32995,Josh Botes,2985840,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,,1,4.0,43,0,43/ 0,0,10,10.75,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
221,576,32995,Jayden Blom,4187740,SINOVILLE 4,,SINOVILLE 4,1,,1,4.0,44,0,44/ 0,0,9,11.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
222,576,32995,Kian Hoeuner,3928431,CBCOB 3,,CBCOB 3,1,,1,2.0,23,0,23/ 0,0,0,11.50,0,0.0,0,0,0,2,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
223,576,32995,Hanco Hertzog,4165763,SINOVILLE 4,,SINOVILLE 4,1,,1,3.0,35,0,35/ 0,0,10,11.67,0,0.0,0,0,0,18,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
224,576,32995,Andre Kruyshaar,3772081,SINOVILLE 3,,SINOVILLE 3,3,,1,4.0,47,0,0/ 0,0,13,11.75,0,0.0,0,0,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
225,576,32995,Johan Pretorius,3255251,TUKS 5,,TUKS 5,6,,1,2.0,24,0,0/ 0,0,5,12.00,0,0.0,0,0,0,1,1,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
226,576,32995,Dewan Bohmer,4116166,PHSOB 3,,PHSOB 3,4,,1,0.3,6,0,0/ 0,0,2,12.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
227,576,32995,Thomas Hobson,4185926,PHSOB 3,,PHSOB 3,2,,1,1.0,12,0,0/ 0,0,3,12.00,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
228,576,32995,Maans Roubaix,3031813,SINOVILLE 3,,SINOVILLE 3,1,,1,1.0,13,0,13/ 0,0,1,13.00,0,0.0,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
229,576,32995,Simion Muller,3783164,CBCOB 3,,CBCOB 3,1,,1,2.0,26,0,26/ 0,0,5,13.00,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
230,576,32995,Matt Collett,4081460,PHSOB 3,,PHSOB 3,3,,1,1.0,14,0,0/ 0,0,3,14.00,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
231,576,32995,Andre Schoombee,3772084,SINOVILLE 3,,SINOVILLE 3,1,,1,2.0,29,0,29/ 0,0,4,14.50,0,0.0,0,0,0,2,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
232,576,32995,Gerbrandt Viviers,3018253,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,4,,1,1.0,15,0,0/ 0,0,4,15.00,0,0.0,0,0,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
233,576,32995,Hanco Hertzog,3928457,SINOVILLE 3,,SINOVILLE 3,1,,1,1.0,15,0,15/ 0,0,0,15.00,0,0.0,0,0,0,5,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
234,576,32995,Eugene Joubert,4187738,SINOVILLE 4,,SINOVILLE 4,1,,1,1.0,15,0,15/ 0,0,1,15.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
235,576,32995,Schalk Pelzer,4187737,SINOVILLE 4,,SINOVILLE 4,1,,1,2.0,32,0,32/ 0,0,5,16.00,0,0.0,0,0,0,7,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
236,576,32995,Mulder Kotze,2985832,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,,1,2.0,33,0,33/ 0,0,4,16.50,0,0.0,0,0,0,5,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
237,576,32995,Tyler Lockhart,3772078,PHSOB 3,,PHSOB 3,4,,1,2.0,34,0,0/ 0,0,2,17.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
238,576,32995,Johan Feuth,3056115,CBCOB 3,,CBCOB 3,1,,1,1.0,26,0,26/ 0,0,0,26.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
239,576,32995,Rowan Sweetman,4196332,HARLEQUINS 3,,HARLEQUINS 3,2,,1,1.0,32,0,0/ 0,0,0,32.00,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
